ID               b | Línea: 46  | Columna: 13 
THEN             then | Línea: 46  | Columna: 15 
COUT             cout | Línea: 47  | Columna: 9  
SHL              << | Línea: 47  | Columna: 13 
STRING           "a es mayor o igual que b" | Línea: 47  | Columna: 17 
PUNCOM           ; | Línea: 47  | Columna: 43 
END              end | Línea: 48  | Columna: 5  
IF               if | Línea: 50  | Columna: 5  
ID               a | Línea: 50  | Columna: 8  
EQ               == | Línea: 50  | Columna: 9  
ID               b | Línea: 50  | Columna: 13 
THEN             then | Línea: 50  | Columna: 15 
COUT             cout | Línea: 51  | Columna: 9  
SHL              << | Línea: 51  | Columna: 13 
STRING           "a es igual a b" | Línea: 51  | Columna: 17 
PUNCOM           ; | Línea: 51  | Columna: 33 
END              end | Línea: 52  | Columna: 5  
IF               if | Línea: 54  | Columna: 5  
ID               a | Línea: 54  | Columna: 8  
NE               != | Línea: 54  | Columna: 9  
ID               b | Línea: 54  | Columna: 13 
THEN             then | Línea: 54  | Columna: 15 
COUT             cout | Línea: 55  | Columna: 9  
SHL              << | Línea: 55  | Columna: 13 
STRING           "a es diferente de b" | Línea: 55  | Columna: 17 
PUNCOM           ; | Línea: 55  | Columna: 38 
END              end | Línea: 56  | Columna: 5  
IF               if | Línea: 58  | Columna: 5  
ID               a | Línea: 58  | Columna: 8  
GT               > | Línea: 58  | Columna: 9  
NUM_INT          0 | Línea: 58  | Columna: 12 
THEN             then | Línea: 58  | Columna: 14 
COUT             cout | Línea: 59  | Columna: 9  
SHL              << | Línea: 59  | Columna: 13 
STRING           "positivo" | Línea: 59  | Columna: 17 
PUNCOM           ; | Línea: 59  | Columna: 27 
ELSE             else | Línea: 60  | Columna: 5  
COUT             cout | Línea: 61  | Columna: 9  
SHL              << | Línea: 61  | Columna: 13 
STRING           "no positivo" | Línea: 61  | Columna: 17 
PUNCOM           ; | Línea: 61  | Columna: 30 
END              end | Línea: 62  | Columna: 5  
IF               if | Línea: 64  | Columna: 5  
ID               a | Línea: 64  | Columna: 8  
GT               > | Línea: 64  | Columna: 9  
NUM_INT          0 | Línea: 64  | Columna: 12 
THEN             then | Línea: 64  | Columna: 14 
IF               if | Línea: 65  | Columna: 9  
ID               b | Línea: 65  | Columna: 12 
GT               > | Línea: 65  | Columna: 13 
NUM_INT          0 | Línea: 65  | Columna: 16 
THEN             then | Línea: 65  | Columna: 18 
COUT             cout | Línea: 66  | Columna: 13 
SHL              << | Línea: 66  | Columna: 17 
STRING           "ambos positivos" | Línea: 66  | Columna: 21 
PUNCOM           ; | Línea: 66  | Columna: 38 
ELSE             else | Línea: 67  | Columna: 9  
COUT             cout | Línea: 68  | Columna: 13 
SHL              << | Línea: 68  | Columna: 17 
STRING           "b no positivo" | Línea: 68  | Columna: 21 
PUNCOM           ; | Línea: 68  | Columna: 36 
END              end | Línea: 69  | Columna: 9  
ELSE             else | Línea: 70  | Columna: 5  
COUT             cout | Línea: 71  | Columna: 9  
SHL              << | Línea: 71  | Columna: 13 
STRING           "a no positivo" | Línea: 71  | Columna: 17 
PUNCOM           ; | Línea: 71  | Columna: 32 
END              end | Línea: 72  | Columna: 5  
WHILE            while | Línea: 74  | Columna: 5  
ID               a | Línea: 74  | Columna: 11 
GT               > | Línea: 74  | Columna: 12 
NUM_INT          0 | Línea: 74  | Columna: 15 
ID               a | Línea: 75  | Columna: 9  
ASSIGN           = | Línea: 75  | Columna: 10 
ID               a | Línea: 75  | Columna: 13 
MENOS            - | Línea: 75  | Columna: 14 
NUM_INT          1 | Línea: 75  | Columna: 17 
PUNCOM           ; | Línea: 75  | Columna: 18 
END              end | Línea: 76  | Columna: 5  
WHILE            while | Línea: 78  | Columna: 5  
ID               flag | Línea: 78  | Columna: 11 
ID               b | Línea: 79  | Columna: 9  
ASSIGN           = | Línea: 79  | Columna: 10 
ID               b | Línea: 79  | Columna: 13 
MAS              + | Línea: 79  | Columna: 14 
NUM_INT          1 | Línea: 79  | Columna: 17 
PUNCOM           ; | Línea: 79  | Columna: 18 
IF               if | Línea: 80  | Columna: 9  
ID               b | Línea: 80  | Columna: 12 
EQ               == | Línea: 80  | Columna: 13 
NUM_INT          10 | Línea: 80  | Columna: 17 
THEN             then | Línea: 80  | Columna: 20 
ID               flag | Línea: 81  | Columna: 13 
ASSIGN           = | Línea: 81  | Columna: 17 
FALSE            false | Línea: 81  | Columna: 20 
PUNCOM           ; | Línea: 81  | Columna: 25 
END              end | Línea: 82  | Columna: 9  
END              end | Línea: 83  | Columna: 5  
DO               do | Línea: 85  | Columna: 5  
ID               c | Línea: 86  | Columna: 9  
ASSIGN           = | Línea: 86  | Columna: 10 
ID               c | Línea: 86  | Columna: 13 
MAS              + | Línea: 86  | Columna: 14 
NUM_INT          1 | Línea: 86  | Columna: 17 
PUNCOM           ; | Línea: 86  | Columna: 18 
WHILE            while | Línea: 87  | Columna: 5  
ID               c | Línea: 87  | Columna: 11 
LT               < | Línea: 87  | Columna: 12 
NUM_INT          5 | Línea: 87  | Columna: 15 
PUNCOM           ; | Línea: 87  | Columna: 16 
DO               do | Línea: 89  | Columna: 5  
ID               a | Línea: 90  | Columna: 9  
ASSIGN           = | Línea: 90  | Columna: 10 
ID               a | Línea: 90  | Columna: 13 
MENOS            - | Línea: 90  | Columna: 14 
NUM_INT          1 | Línea: 90  | Columna: 17 
PUNCOM           ; | Línea: 90  | Columna: 18 
ID               b | Línea: 91  | Columna: 9  
ASSIGN           = | Línea: 91  | Columna: 10 
ID               b | Línea: 91  | Columna: 13 
MAS              + | Línea: 91  | Columna: 14 
NUM_INT          1 | Línea: 91  | Columna: 17 
PUNCOM           ; | Línea: 91  | Columna: 18 
WHILE            while | Línea: 92  | Columna: 5  
ID               a | Línea: 92  | Columna: 11 
GT               > | Línea: 92  | Columna: 12 
NUM_INT          0 | Línea: 92  | Columna: 15 
PUNCOM           ; | Línea: 92  | Columna: 16 
COUT             cout | Línea: 94  | Columna: 5  
SHL              << | Línea: 94  | Columna: 9  
STRING           "texto simple" | Línea: 94  | Columna: 13 
PUNCOM           ; | Línea: 94  | Columna: 27 
COUT             cout | Línea: 96  | Columna: 5  
SHL              << | Línea: 96  | Columna: 9  
ID               a | Línea: 96  | Columna: 13 
PUNCOM           ; | Línea: 96  | Columna: 14 
COUT             cout | Línea: 98  | Columna: 5  
SHL              << | Línea: 98  | Columna: 9  
ID               x | Línea: 98  | Columna: 13 
PUNCOM           ; | Línea: 98  | Columna: 14 
COUT             cout | Línea: 100 | Columna: 5  
SHL              << | Línea: 100 | Columna: 9  
STRING           "resultado: " | Línea: 100 | Columna: 13 
SHL              << | Línea: 100 | Columna: 26 
ID               a | Línea: 100 | Columna: 30 
PUNCOM           ; | Línea: 100 | Columna: 31 
COUT             cout | Línea: 102 | Columna: 5  
SHL              << | Línea: 102 | Columna: 9  
ID               a | Línea: 102 | Columna: 13 
SHL              << | Línea: 102 | Columna: 14 
STRING           " fin" | Línea: 102 | Columna: 18 
PUNCOM           ; | Línea: 102 | Columna: 24 
ID               a | Línea: 104 | Columna: 5  
ASSIGN           = | Línea: 104 | Columna: 6  
LPAREN           ( | Línea: 104 | Columna: 8  
ID               b | Línea: 104 | Columna: 10 
MAS              + | Línea: 104 | Columna: 11 
ID               c | Línea: 104 | Columna: 14 
RPAREN           ) | Línea: 104 | Columna: 15 
MUL              * | Línea: 104 | Columna: 16 
LPAREN           ( | Línea: 104 | Columna: 18 
ID               x | Línea: 104 | Columna: 20 
MENOS            - | Línea: 104 | Columna: 21 
NUM_INT          1 | Línea: 104 | Columna: 24 
RPAREN           ) | Línea: 104 | Columna: 25 
PUNCOM           ; | Línea: 104 | Columna: 26 
IF               if | Línea: 106 | Columna: 5  
ID               flag | Línea: 106 | Columna: 8  
AND              && | Línea: 106 | Columna: 12 
ID               activo | Línea: 106 | Columna: 16 
THEN             then | Línea: 106 | Columna: 23 
COUT             cout | Línea: 107 | Columna: 7  
SHL              << | Línea: 107 | Columna: 11 
STRING           "ambos verdaderos" | Línea: 107 | Columna: 15 
PUNCOM           ; | Línea: 107 | Columna: 33 
END              end | Línea: 108 | Columna: 4  
IF               if | Línea: 110 | Columna: 5  
ID               flag | Línea: 110 | Columna: 9  
OR               || | Línea: 110 | Columna: 13 
ID               activo | Línea: 110 | Columna: 17 
THEN             then | Línea: 110 | Columna: 24 
COUT             cout | Línea: 111 | Columna: 7  
SHL              << | Línea: 111 | Columna: 11 
STRING           "uno o ambos verdaderos " | Línea: 111 | Columna: 15 
PUNCOM           ; | Línea: 111 | Columna: 40 
END              end | Línea: 112 | Columna: 4  
ID               flag | Línea: 114 | Columna: 5  
ASSIGN           = | Línea: 114 | Columna: 9  
NOT              ! | Línea: 114 | Columna: 11 
ID               activo | Línea: 114 | Columna: 14 
PUNCOM           ; | Línea: 114 | Columna: 20 
IF               if | Línea: 116 | Columna: 5  
ID               a | Línea: 116 | Columna: 8  
GT               > | Línea: 116 | Columna: 9  
NUM_INT          0 | Línea: 116 | Columna: 12 
THEN             then | Línea: 116 | Columna: 14 
WHILE            while | Línea: 117 | Columna: 9  
ID               b | Línea: 117 | Columna: 15 
LT               < | Línea: 117 | Columna: 16 
NUM_INT          10 | Línea: 117 | Columna: 19 
COUT             cout | Línea: 118 | Columna: 13 
SHL              << | Línea: 118 | Columna: 17 
ID               b | Línea: 118 | Columna: 21 
PUNCOM           ; | Línea: 118 | Columna: 22 
ID               b | Línea: 119 | Columna: 13 
