PUNCOM           ; | Línea: 32  | Columna: 20 
END              end | Línea: 33  | Columna: 9  
ID               y | Línea: 34  | Columna: 9  
ASSIGN           = | Línea: 34  | Columna: 10 
ID               y | Línea: 34  | Columna: 13 
MAS              + | Línea: 34  | Columna: 14 
NUM_INT          1 | Línea: 34  | Columna: 17 
PUNCOM           ; | Línea: 34  | Columna: 18 
END              end | Línea: 35  | Columna: 5  
ID               a | Línea: 38  | Columna: 5  
ASSIGN           = | Línea: 38  | Columna: 6  
ID               a | Línea: 38  | Columna: 9  
MAS              + | Línea: 38  | Columna: 10 
NUM_INT          1 | Línea: 38  | Columna: 13 
PUNCOM           ; | Línea: 38  | Columna: 14 
ID               c | Línea: 40  | Columna: 5  
ASSIGN           = | Línea: 40  | Columna: 6  
ID               c | Línea: 40  | Columna: 9  
DEC              -- | Línea: 40  | Columna: 10 
PUNCOM           ; | Línea: 40  | Columna: 12 
ID               x | Línea: 42  | Columna: 5  
ASSIGN           = | Línea: 42  | Columna: 6  
NUM_INT          3 | Línea: 42  | Columna: 9  
MAS              + | Línea: 42  | Columna: 10 
NUM_INT          4 | Línea: 42  | Columna: 13 
PUNCOM           ; | Línea: 42  | Columna: 14 
DO               do | Línea: 45  | Columna: 5  
ID               y | Línea: 46  | Columna: 9  
ASSIGN           = | Línea: 46  | Columna: 10 
LPAREN           ( | Línea: 46  | Columna: 12 
ID               y | Línea: 46  | Columna: 14 
MAS              + | Línea: 46  | Columna: 15 
NUM_INT          1 | Línea: 46  | Columna: 18 
RPAREN           ) | Línea: 46  | Columna: 19 
MUL              * | Línea: 46  | Columna: 20 
NUM_INT          2 | Línea: 46  | Columna: 23 
MAS              + | Línea: 46  | Columna: 24 
NUM_INT          1 | Línea: 46  | Columna: 27 
PUNCOM           ; | Línea: 46  | Columna: 28 
IF               if | Línea: 47  | Columna: 9  
ID               x | Línea: 47  | Columna: 12 
GT               > | Línea: 47  | Columna: 13 
NUM_INT          7 | Línea: 47  | Columna: 16 
THEN             then | Línea: 47  | Columna: 18 
ID               x | Línea: 48  | Columna: 13 
ASSIGN           = | Línea: 48  | Columna: 14 
NUM_INT          6 | Línea: 48  | Columna: 17 
MAS              + | Línea: 48  | Columna: 18 
NUM_INT          8 | Línea: 48  | Columna: 21 
DIV              / | Línea: 48  | Columna: 22 
NUM_INT          9 | Línea: 48  | Columna: 25 
MUL              * | Línea: 48  | Columna: 26 
NUM_INT          8 | Línea: 48  | Columna: 29 
DIV              / | Línea: 48  | Columna: 30 
NUM_INT          3 | Línea: 48  | Columna: 33 
PUNCOM           ; | Línea: 48  | Columna: 34 
CIN              cin | Línea: 49  | Columna: 13 
SHR              >> | Línea: 49  | Columna: 16 
ID               x | Línea: 49  | Columna: 20 
PUNCOM           ; | Línea: 49  | Columna: 21 
ID               suma | Línea: 50  | Columna: 13 
ASSIGN           = | Línea: 50  | Columna: 17 
NUM_INT          36 | Línea: 50  | Columna: 20 
DIV              / | Línea: 50  | Columna: 22 
NUM_INT          7 | Línea: 50  | Columna: 25 
PUNCOM           ; | Línea: 50  | Columna: 26 
END              end | Línea: 51  | Columna: 9  
WHILE            while | Línea: 52  | Columna: 5  
ID               y | Línea: 52  | Columna: 11 
EQ               == | Línea: 52  | Columna: 12 
NUM_INT          5 | Línea: 52  | Columna: 16 
PUNCOM           ; | Línea: 52  | Columna: 17 
WHILE            while | Línea: 55  | Columna: 5  
ID               y | Línea: 55  | Columna: 11 
EQ               == | Línea: 55  | Columna: 12 
NUM_INT          0 | Línea: 55  | Columna: 16 
CIN              cin | Línea: 56  | Columna: 9  
SHR              >> | Línea: 56  | Columna: 12 
ID               suma | Línea: 56  | Columna: 16 
PUNCOM           ; | Línea: 56  | Columna: 20 
COUT             cout | Línea: 57  | Columna: 9  
SHL              << | Línea: 57  | Columna: 13 
NUM_INT          5 | Línea: 57  | Columna: 17 
MAS              + | Línea: 57  | Columna: 18 
NUM_INT          8 | Línea: 57  | Columna: 19 
MUL              * | Línea: 57  | Columna: 20 
NUM_INT          3 | Línea: 57  | Columna: 21 
PUNCOM           ; | Línea: 57  | Columna: 22 
END              end | Línea: 58  | Columna: 5  
RBRACE           } | Línea: 58  | Columna: 8  
EOF -> Fin del archivo (línea 59, columna 2)
